clase,variable_meta,n,n_finite,n_nan,n_inf,pct_finite,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,n_zero,n_negative,n_outlier_iqr
ozono_anomalo,modis_WV,1000,976,24,0,0.976,1.3830963127299776,0.9408423531477942,0.10000000149011612,0.10000000149011612,0.2513750046491623,0.523250013589859,1.1962500214576721,2.0136250257492065,3.106499969959259,3.7463749051094055,4.359000205993652,0.0,0.0,2.0
vegetacion_densa,lat,1000,1000,0,0,1.0,3.4564057673830053,0.09782742511781058,3.303015468179231,3.3051615433929915,3.3153178959952423,3.359137715554572,3.4619274419399,3.5390253511994216,3.604135242992374,3.6141110342225167,3.618773290547095,0.0,0.0,0.0
vegetacion_densa,lon,1000,1000,0,0,1.0,-76.446228053658,0.09897358296789861,-76.64551768247527,-76.64183908138675,-76.62505855187915,-76.52552521839729,-76.42830504677205,-76.36052715858426,-76.31403035947757,-76.30603984502521,-76.30290023310717,0.0,1000.0,0.0
vegetacion_densa,ndvi,1000,1000,0,0,1.0,0.6902291171735329,0.061477520889085466,0.6001783385251649,0.6019882403987584,0.6089930941287557,0.6375891442307944,0.6818213085317967,0.7323524837116502,0.8034510048592474,0.8430741602221441,0.8814726768041957,0.0,0.0,1.0
vegetacion_densa,ndbi,1000,1000,0,0,1.0,-0.2510942767360529,0.07961038317986206,-0.47147280221245425,-0.4210076434082065,-0.3838672266126088,-0.3064151574552387,-0.25263613582071376,-0.1937677629203979,-0.12056324779869346,-0.07324778574533593,-0.021606807168401417,0.0,1000.0,2.0
vegetacion_densa,scl_pct,1000,1000,0,0,1.0,0.937310546875,0.13336583775490998,0.311279296875,0.4280810546875,0.6038696289062501,0.95880126953125,1.0,1.0,1.0,1.0,1.0,0.0,0.0,184.0
vegetacion_densa,no2,1000,0,1000,0,0.0,,,,,,,,,,,,,,
vegetacion_densa,so2,1000,0,1000,0,0.0,,,,,,,,,,,,,,
vegetacion_densa,o3,1000,0,1000,0,0.0,,,,,,,,,,,,,,
vegetacion_densa,era5_T2m,1000,1000,0,0,1.0,297.7918234558106,2.128070716075242,291.964599609375,292.4900817871094,294.3885787963867,296.4365463256836,297.7310791015625,299.1938705444336,301.193603515625,303.1817321777344,303.1817321777344,0.0,0.0,9.0
vegetacion_densa,era5_Td2m,1000,1000,0,0,1.0,292.6902910461426,1.5643069935354053,288.56011962890625,288.60308837890625,290.28070068359375,291.614501953125,292.5496826171875,293.85308837890625,295.2743835449219,296.59161376953125,297.239013671875,0.0,0.0,3.0
vegetacion_densa,era5_u10,1000,1000,0,0,1.0,0.30697474601864816,0.7687266063897421,-1.2956390380859375,-1.2521114349365234,-0.8959197998046875,-0.2779983952641487,0.33332741260528564,0.8629174381494522,1.5960693359375,1.839728643894195,2.041963815689087,0.0,355.0,0.0
vegetacion_densa,era5_v10,1000,1000,0,0,1.0,-0.9135759914517403,0.4614282069832827,-1.7702184915542603,-1.7344653606414795,-1.5715314149856567,-1.2166489362716675,-0.9829144477844238,-0.69293212890625,-0.10129320621490479,0.47677159309387207,0.8598976135253906,0.0,966.0,34.0
vegetacion_densa,era5_BLH,1000,1000,0,0,1.0,710.5116866149903,130.16100673032338,273.70068359375,354.5716857910156,484.082275390625,641.394287109375,716.216552734375,781.618896484375,932.5525573730464,1056.2664794921875,1154.5648193359375,0.0,0.0,57.0
vegetacion_densa,era5_RH850,1000,1000,0,0,1.0,86.3861876449585,7.562828055593807,51.908485412597656,51.908485412597656,71.94320678710938,82.47904968261719,88.39163970947266,90.88060760498047,94.76419830322266,96.52626037597656,97.80514526367188,0.0,0.0,40.0
vegetacion_densa,era5_psurf,1000,1000,0,0,1.0,87836.5157265625,2053.7423927606387,85093.546875,85157.5078125,85229.046875,85877.564453125,89292.8984375,89510.40625,90703.061328125,90871.795390625,90980.296875,0.0,0.0,0.0
