time_idx,time_s2,scl_pct
398,20220511T153621_20220511T154121_T18NUK,0.12583125
399,20220513T152639_20220513T152637_T18NUJ,0.0
400,20220513T152639_20220513T152637_T18NUK,0.0
401,20220516T153619_20220516T153618_T18NUJ,0.0001768005
402,20220516T153619_20220516T153618_T18NUK,4.6620018e-05
403,20220518T152651_20220518T152645_T18NUJ,0.0
404,20220518T152651_20220518T152645_T18NUK,0.0
405,20220521T153631_20220521T153954_T18NUJ,0.030364316
406,20220521T153631_20220521T153954_T18NUK,0.01222103
407,20220523T152639_20220523T152639_T18NUJ,0.015116146
408,20220523T152639_20220523T152639_T18NUK,0.0
409,20220526T153619_20220526T153619_T18NUJ,0.0
410,20220526T153619_20220526T153619_T18NUK,9.9561395e-05
411,20220528T152651_20220528T152716_T18NUJ,0.0
412,20220528T152651_20220528T152716_T18NUK,0.00014960549
413,20220531T153631_20220531T153627_T18NUJ,0.000105882755
414,20220531T153631_20220531T153627_T18NUK,0.00496951
415,20220602T152639_20220602T152638_T18NUJ,6.110647e-05
416,20220602T152639_20220602T152638_T18NUK,0.0
417,20220605T153619_20220605T153633_T18NUJ,0.49883696
418,20220605T153619_20220605T153633_T18NUK,0.14515775
419,20220607T152651_20220607T152647_T18NUJ,0.0
420,20220607T152651_20220607T152647_T18NUK,0.0
421,20220610T153631_20220610T154138_T18NUJ,0.2189257
422,20220610T153631_20220610T154138_T18NUK,0.05978991
423,20220612T152639_20220612T153026_T18NUJ,0.00019701567
424,20220612T152639_20220612T153026_T18NUK,0.00046271028
425,20220615T153619_20220615T154006_T18NUJ,0.3707141
426,20220615T153619_20220615T154006_T18NUK,0.11155242
427,20220617T152651_20220617T152751_T18NUJ,0.0
428,20220617T152651_20220617T152751_T18NUK,0.0
429,20220620T153631_20220620T153631_T18NUJ,0.25075597
430,20220620T153631_20220620T153631_T18NUK,0.13329467
431,20220622T152649_20220622T153041_T18NUJ,0.035247896
432,20220622T152649_20220622T153041_T18NUK,0.0
433,20220625T153629_20220625T154022_T18NUJ,0.13158315
434,20220625T153629_20220625T154022_T18NUK,0.06680675
435,20220627T152651_20220627T152652_T18NUJ,0.041012842
436,20220627T152651_20220627T152652_T18NUK,0.006823643
437,20220702T152649_20220702T153049_T18NUJ,1.5803396e-06
438,20220702T152649_20220702T153049_T18NUK,0.0023472654
439,20220705T153629_20220705T154008_T18NUJ,0.14289635
440,20220705T153629_20220705T154008_T18NUK,0.03373419
441,20220707T152651_20220707T153057_T18NUJ,0.15256493
442,20220707T152651_20220707T153057_T18NUK,0.028341679
443,20220710T153631_20220710T153632_T18NUJ,0.22935028
444,20220710T153631_20220710T153632_T18NUK,0.05673676
445,20220712T152649_20220712T152643_T18NUJ,0.008094302
446,20220712T152649_20220712T152643_T18NUK,0.00013735786
447,20220715T153629_20220715T153952_T18NUJ,0.10621785
448,20220715T153629_20220715T153952_T18NUK,0.095537126
449,20220717T152651_20220717T152651_T18NUJ,0.056620408
450,20220717T152651_20220717T152651_T18NUK,0.00026266562
451,20220720T153631_20220720T153630_T18NUJ,0.007623361
452,20220720T153631_20220720T153630_T18NUK,0.000133407
453,20220722T152649_20220722T153002_T18NUJ,1.0008817e-05
454,20220722T152649_20220722T153002_T18NUK,3.4767472e-05
455,20220725T153629_20220725T153921_T18NUJ,0.0009228525
456,20220725T153629_20220725T153921_T18NUK,0.0001020636
457,20220727T152651_20220727T152649_T18NUJ,5.267799e-07
458,20220727T152651_20220727T152649_T18NUK,1.5803396e-06
459,20220730T153631_20220730T154107_T18NUJ,0.30487907
460,20220730T153631_20220730T154107_T18NUK,0.14158744
461,20220801T152649_20220801T152929_T18NUJ,0.11044546
462,20220801T152649_20220801T152929_T18NUK,0.016375478
463,20220804T153629_20220804T153750_T18NUJ,3.6150268e-05
464,20220804T153629_20220804T153750_T18NUK,0.0
465,20220806T152651_20220806T152650_T18NUJ,0.0027516347
466,20220806T152651_20220806T152650_T18NUK,0.0
467,20220809T153631_20220809T153721_T18NUJ,0.17470668
468,20220809T153631_20220809T153721_T18NUK,0.07140837
469,20220811T152639_20220811T152935_T18NUJ,0.057680618
470,20220811T152639_20220811T152935_T18NUK,0.0054526986
471,20220814T153619_20220814T153828_T18NUJ,0.3000153
472,20220814T153619_20220814T153828_T18NUK,0.074703775
473,20220816T152651_20220816T153208_T18NUJ,0.08232878
474,20220816T152651_20220816T153208_T18NUK,0.01579207
475,20220819T153631_20220819T153632_T18NUJ,0.012846844
476,20220819T153631_20220819T153632_T18NUK,0.0037780653
477,20220821T152639_20220821T152904_T18NUJ,0.0037390178
478,20220821T152639_20220821T152904_T18NUK,4.5698154e-05
479,20220824T153619_20220824T153619_T18NUJ,0.78064084
480,20220824T153619_20220824T153619_T18NUK,0.25937983
481,20220826T152651_20220826T152652_T18NUJ,0.0055394853
482,20220826T152651_20220826T152652_T18NUK,0.00051150325
483,20220826T152651_20220826T153220_T18NUJ,0.019045133
484,20220826T152651_20220826T153220_T18NUK,0.00025259095
