tile_id,clase,fecha_tile,anio,contaminante,ventana_dias,estacion_cercana,municipio_estacion,distancia_km,valor_dagma,dias_con_dato,horas_con_dato
3314,vegetacion_densa,2024-10-12,2024,NO2,1,ESTACIÓN YUMBO,Yumbo,14.464881176453938,,0,0
3314,vegetacion_densa,2024-10-12,2024,NO2,3,ESTACIÓN YUMBO,Yumbo,14.464881176453938,,0,0
3315,vegetacion_densa,2025-07-24,2025,NO2,0,ESTACIÓN YUMBO,Yumbo,10.9039736879841,,0,0
3315,vegetacion_densa,2025-07-24,2025,NO2,1,ESTACIÓN YUMBO,Yumbo,10.9039736879841,,0,0
3315,vegetacion_densa,2025-07-24,2025,NO2,3,ESTACIÓN YUMBO,Yumbo,10.9039736879841,,0,0
3316,vegetacion_densa,2024-08-28,2024,NO2,0,ESTACIÓN YUMBO,Yumbo,7.325721536786883,,0,0
3316,vegetacion_densa,2024-08-28,2024,NO2,1,ESTACIÓN YUMBO,Yumbo,7.325721536786883,,0,0
3316,vegetacion_densa,2024-08-28,2024,NO2,3,ESTACIÓN YUMBO,Yumbo,7.325721536786883,,0,0
3317,vegetacion_densa,2024-12-01,2024,NO2,0,ESTACIÓN YUMBO,Yumbo,31.280141959397874,,0,0
3317,vegetacion_densa,2024-12-01,2024,NO2,1,ESTACIÓN YUMBO,Yumbo,31.280141959397874,,0,0
3317,vegetacion_densa,2024-12-01,2024,NO2,3,ESTACIÓN YUMBO,Yumbo,31.280141959397874,,0,0
3318,vegetacion_densa,2021-10-08,2021,NO2,0,ESTACIÓN YUMBO,Yumbo,15.57791083686695,,0,0
3318,vegetacion_densa,2021-10-08,2021,NO2,1,ESTACIÓN YUMBO,Yumbo,15.57791083686695,,0,0
3318,vegetacion_densa,2021-10-08,2021,NO2,3,ESTACIÓN YUMBO,Yumbo,15.57791083686695,,0,0
3319,vegetacion_densa,2024-11-06,2024,NO2,0,ESTACIÓN YUMBO,Yumbo,23.11767019855409,,0,0
3319,vegetacion_densa,2024-11-06,2024,NO2,1,ESTACIÓN YUMBO,Yumbo,23.11767019855409,,0,0
